id,original_id,split,audio,text,start,end,duration
06_2026-06-01_0m29s_part_001,06_2026-06-01_0m29s,train,training/segments/audio/train/06_2026-06-01_0m29s_part_001.wav,Merhaba Veribase İlaç şirketinden arıyorum. Ben Elif. Size isminizle hitap edebilmem için isminizi öğrenebilir miyim? Telefonu kapatmak istiyorum. Elbette görüşmeyi burada sonlandırabiliriz. İyi günler dilerim.,14,29.808,15.808
08_2026-05-25_0m43s_part_001,08_2026-05-25_0m43s,train,training/segments/audio/train/08_2026-05-25_0m43s_part_001.wav,"Merhaba Veribase İlaç Şirketinden arıyorum. Ben Elif. Size isminizle hitap edebilmem için isminizi öğrenebilir miyim? Selam, selam, merhaba. Selam, selam, merhaba.",17,43.704,26.704
10_2026-07-01_0m47s_part_001,10_2026-07-01_0m47s,train,training/segments/audio/train/10_2026-07-01_0m47s_part_001.wav,Merhaba Veribasecilik şirketinden arıyorum. İsmim Elif. Demomix 30 miligram tablet ve Demomix 10 miligram tablet için kampanyalarımız hakkında bilgi vermek üzere aramıştım. Müsait miydiniz? yok değilim.,0,29,29
10_2026-07-01_0m47s_part_002,10_2026-07-01_0m47s,train,training/segments/audio/train/10_2026-07-01_0m47s_part_002.wav,Yok değilim. Anladım. Peki daha sonra ne zaman aramamı istersiniz? Şimdi aramayı istemiyorum. Peki anladım. İyi günler diliyorum.,29,47.88,18.88
11_2026-07-02_0m51s_part_001,11_2026-07-02_0m51s,train,training/segments/audio/train/11_2026-07-02_0m51s_part_001.wav,"Merhaba, Veribase İlaç şirketinden arıyorum. İsmim Elif. Demomix 30 miligram tablet ve Demomix 10 miligram tablet için kampanyalarımız hakkında bilgi vermek üzere aramıştım. Müsait miydiniz? Müsait değilim. Anladım. Ne zaman isterseniz tekrar arayabilirim. Başka bir konuda yardımcı olabilir miyim?",7,37,30
11_2026-07-02_0m51s_part_002,11_2026-07-02_0m51s,train,training/segments/audio/train/11_2026-07-02_0m51s_part_002.wav,"Yok, görüşürüz. Yok, görüşürüz.",37,50.976,13.976
14_2026-07-03_1m05s_part_001,14_2026-07-03_1m05s,train,training/segments/audio/train/14_2026-07-03_1m05s_part_001.wav,"Merhaba,  girişinizi dinliyorum. Merhabalar, kolay gelsin. Teşekkürler, sağ olun. Kimi ziyaret etmiştiniz? ziyaret etmiştim. Anladım. Hangi kurumda görevliydi Murat Bey? Bağcılar Devlet Hastanesi'nde. Okey, not ettim. Hangi ürünler üzerineydi görüşme? Arıoğlu ve Metic.",7,36,29
14_2026-07-03_1m05s_part_002,14_2026-07-03_1m05s,train,training/segments/audio/train/14_2026-07-03_1m05s_part_002.wav,"Tamamdır. Görüşmede neler konuşuldu ağırlıklı olarak? Görüşme de gayet olumluydu. İlgilendiğini söyledi. Çok güzel. Peki, sonraki adımlar neler olacak? Haftaya tekrardan ziyaret edeceğim. Anladım. Başka bir şey eklemek ister misiniz? Rica ederim. İyi çalışmalar dilerim. Kolay gelsin. Sağ olun.",36,65.304,29.304
15_2026-05-26_1m17s_part_001,15_2026-05-26_1m17s,train,training/segments/audio/train/15_2026-05-26_1m17s_part_001.wav,"Merhaba. Veribase İlaç şirketinden arıyorum. Ben Elif. Size isminiz ile hitap edebilmem için isminizi öğrenebilir miyim?  Memnun oldum Şaban Bey. Şu an Demo Alvira, Demo Nexora ve Demo  için harika bir kampanyamız var. Değerlendirmek ister misiniz?",2,29,27
15_2026-05-26_1m17s_part_002,15_2026-05-26_1m17s,train,training/segments/audio/train/15_2026-05-26_1m17s_part_002.wav,"Yok, benim ismim Berkay. Duyuyor musunuz? Pardon Berkay Bey isminizi yanlış duymuşum. Memnun oldum. Şu an Demo Alvira, Demo Nexora ve Demo  için harika bir kampanyamız var. Değerlendirmek ister misiniz? Telefonu kapatabilir miyiz?",29,58,29
15_2026-05-26_1m17s_part_003,15_2026-05-26_1m17s,train,training/segments/audio/train/15_2026-05-26_1m17s_part_003.wav,"Anladım Berkay Bey. Başka bir konuda yardımcı olabilir miyim? Demiyorum, sağ ol.",58,65,7
17_2026-06-04_1m26s_part_001,17_2026-06-04_1m26s,train,training/segments/audio/train/17_2026-06-04_1m26s_part_001.wav,Merhaba. Veribase İlaç şirketinden arıyorum. Ben Elif. Size isminizle hitap edebilmem için isminizi öğrenebilir miyim? Mahmut.,9,36,27
17_2026-06-04_1m26s_part_002,17_2026-06-04_1m26s,train,training/segments/audio/train/17_2026-06-04_1m26s_part_002.wav,"Tamam abi ya, oldu. Memnun oldum Bey. Şu an Demoxora damla, Demotervix saşe ve Demoprobexa kapsül için harika bir kampanyamız var. Değerlendirmek ister misiniz? Evet.",36,58,22
17_2026-06-04_1m26s_part_003,17_2026-06-04_1m26s,train,training/segments/audio/train/17_2026-06-04_1m26s_part_003.wav,Harika. Neler istiyorsunuz?,58,86.688,28.688
19_2026-07-03_1m30s_part_001,19_2026-07-03_1m30s,train,training/segments/audio/train/19_2026-07-03_1m30s_part_001.wav,"Merhaba, ziyaret girişinizi dinliyorum. Merhaba. Bugün kardiyoloji ünitesinden Doktor Ahmet Yılmaz'ı ziyaret ettim. Hangi ürün üzerindeydi görüşmeniz? Kendisine KardioX ve NeuroPro isimli ilaçlarımızı ilaçlarımızın tanıtımını yaptım. Peki, Doktor Ahmet Bey'in geri bildirimi ne oldu?",8,33,25
19_2026-07-03_1m30s_part_002,19_2026-07-03_1m30s,train,training/segments/audio/train/19_2026-07-03_1m30s_part_002.wav,Onun yaklaşımları oldukça olumluuydu. Özellikle KardioX'in yeni klinik çalışmasıyla yakından ilgilendi. Harika. Sonraki aksiyon olarak ne planladınız? Eee gelecek sefer için hatırlatma notu olarak önümüzdeki ay yapacağı sunum öncesi ona güncel literatür çalışmasını e-postayla göndermem gerekiyor. Anladım. Güncel literatür çalışmasını e-postayla göndereceksiniz. Başka bir şey eklemek ister misiniz?,33,63,30
19_2026-07-03_1m30s_part_003,19_2026-07-03_1m30s,train,training/segments/audio/train/19_2026-07-03_1m30s_part_003.wav,Bu kadar. Tamamdır. Notlarınızı kaydettim. Başka bir konuda yardımcı olabilir miyim? Teşekkür ediyorum. İyi günler diliyorum. Ben teşekkür ederim. İyi günler dilerim.,63,90.216,27.216
21_2026-06-04_1m43s_part_001,21_2026-06-04_1m43s,train,training/segments/audio/train/21_2026-06-04_1m43s_part_001.wav,"Alo. Merhaba, Veribase İlaç şirketinden arıyorum ben Elif. Size isminiz ile hitap edebilmem için isminizi öğrenebilir miyim? Kel Mahmut. Memnun oldum Kemal Bey, şu an Demo Alvira, Demo Nexora ve Demo Tervix için harika bir kampanyamız var, değerlendirmek ister misiniz?",0,26,26
21_2026-06-04_1m43s_part_002,21_2026-06-04_1m43s,train,training/segments/audio/train/21_2026-06-04_1m43s_part_002.wav,"İsmim Kemal değil, Kel Kel Mahmut. Ah kusura bakmayın Kemal Bey, nasıl yardımcı olabilirim? İsmim Kel Mahmut. Memnun oldum Kemal Mahmut Bey. Şu an Demo Alvira, Demo Nexora ve Demo Tervix için harika bir kampanyamız var, değerlendirmek ister misiniz? E ismim Hızır, Hızır. Evet.",26,53,27
21_2026-06-04_1m43s_part_003,21_2026-06-04_1m43s,train,training/segments/audio/train/21_2026-06-04_1m43s_part_003.wav,"Tekrar özür dilerim Hızır Bey. Demo D3 Nexas bir saniye. Bende kaldı. Hızır Bey, internetinizde bir sorun mu var? Sesinizi tam alamıyorum. Demo D3 Nexas Spray'in bina içiuluk formunu mu istemiştiniz? Benim ismim Hızır, Hızır.",53,82,29
21_2026-06-04_1m43s_part_004,21_2026-06-04_1m43s,train,training/segments/audio/train/21_2026-06-04_1m43s_part_004.wav,"Hızır Bey, isminiz için tekrar özür dilerim. Demo D3 Nexas Spray'in bina içiuluk formunu mu sipariş etmek istemiştiniz? Üzgünüm. Başka bir şey yardımcı olabilir miyim? No. Canım sıkıldı. Anlıyorum, sağlıklı günler dilerim. Hoşça kalın.",82,103.176,21.176
22_2026-06-24_2m09s_part_001,22_2026-06-24_2m09s,train,training/segments/audio/train/22_2026-06-24_2m09s_part_001.wav,"Merhaba Veribase ilaç şirketinden arıyorum ben Elif. Size isminiz ile hitap edebilmem için ismimi söyler misiniz? İsmim Mahmut. Memnun oldum Mahmut Bey. Şu an hediyelik çeki, altın ve demo miks ürünleri için harika bir kampanyamız var. Değerlendirmek ister misiniz? Tabii hediyelik çeki nedir?",9,39,30
22_2026-06-24_2m09s_part_002,22_2026-06-24_2m09s,train,training/segments/audio/train/22_2026-06-24_2m09s_part_002.wav,Hediyelik çeki ile ilgili bir kampanyaya rastlayamadım. İsterseniz başka bir ürün veya depo bakabiliriz. mesela örnek nedir? Demomix için bir kampanyamız mevcut. Bununla ilgili bilgi alabilir veya sepete ekleyebiliriz. Ne dersiniz? Kampanyası nedir? Demomix'te 4 alana 3 bedava kampanyamız var. Hangi versiyonu düşünürsünüz?,39,65,26
22_2026-06-24_2m09s_part_003,22_2026-06-24_2m09s,train,training/segments/audio/train/22_2026-06-24_2m09s_part_003.wav,Bir milyon alsak ne olur? 1 milyon kutu için özel bir fiyatlandırma yapmamız gerekir. Bunu isterseniz not alabilirim. Başka bir ürün veya depo bakmak ister misiniz? Nereye not ediyorsun bunu? Sipariş notlarınıza ekleyebilirim. Böylece ilgili kişiler bu talebi görebilir. Ne dersiniz? Tamam ekleyin sipariş notunu ekleyebilirsin.,65,95,30
22_2026-06-24_2m09s_part_004,22_2026-06-24_2m09s,train,training/segments/audio/train/22_2026-06-24_2m09s_part_004.wav,Üzgünüm bu talebi şu an doğrudan ekleyemiyorum. Ancak isterseniz daha sonra tekrar aranmak için bir not bırakabiliriz. Tamam bırakalım. Yarın sabah tekrar aranmak ister misiniz? Evet yarın sabah arayabilirsin. Anladım Mahmut Bey. Talebinizi not ettim. Yarın sabah tekrar görüşmek üzere. İyi günler dilerim.,95,124,29
22_2026-06-24_2m09s_part_005,22_2026-06-24_2m09s,train,training/segments/audio/train/22_2026-06-24_2m09s_part_005.wav,İyi günler.,124,129.168,5.168
26_2026-06-02_2m54s_part_001,26_2026-06-02_2m54s,train,training/segments/audio/train/26_2026-06-02_2m54s_part_001.wav,"[Konuşmacı 1]: Merhaba, Veribase ilaç şirketinden arıyorum. Ben Elif. Size isminizle hitap edebilmem için isminizi öğrenebilir miyim? [Konuşmacı 2]: Mahmut. [Konuşmacı 1]: Memnun oldum Mahmut Bey. Şu an Demo Nexoradanla, Demo Omeli yaşurup ve Demo Derniksakrem için harika bir kampanyamız var. Değerlendirmek ister misiniz? [Konuşmacı 2]: Demo Nexoradanı.",15,44,29
26_2026-06-02_2m54s_part_002,26_2026-06-02_2m54s,train,training/segments/audio/train/26_2026-06-02_2m54s_part_002.wav,[Konuşmacı 1]: Demo Nexoradanla buldum. Sepete ekleyeyim mi? Kampanya nedir? [Konuşmacı 2]: [sessizlik] [Konuşmacı 1]: Demo Nexoradanla 5 alana 1 bedava kampanyasıyla sunuluyor. Sepete ekleyelim mi? [Konuşmacı 2]: 1 milyon adet  salıverdim.,44,69,25
26_2026-06-02_2m54s_part_003,26_2026-06-02_2m54s,train,training/segments/audio/train/26_2026-06-02_2m54s_part_003.wav,[Konuşmacı 2]: 1 milyon adet. [Konuşmacı 2]: Orada mısın? [Konuşmacı 2]: Hey.,69,98,29
26_2026-06-02_2m54s_part_004,26_2026-06-02_2m54s,train,training/segments/audio/train/26_2026-06-02_2m54s_part_004.wav,"[Konuşmacı 2]: Orada mısın?  ses ver. [Konuşmacı 1]: Adet belirtmediniz. Kaç kutu eklememi istersiniz? [Konuşmacı 2]: 1 milyon kutu. [Konuşmacı 1]: Maalesef 1 milyon adet sepete eklenemiyor. Adet 1 ile 1000 arasında olabilir. Kaç kutu ekleyelim? [Konuşmacı 2]: 5 milyon. [Konuşmacı 1]: Üzgünüm, en fazla 1000 kutu ekleyebiliriz. Bu adet uygun mu?",98,127,29
26_2026-06-02_2m54s_part_005,26_2026-06-02_2m54s,train,training/segments/audio/train/26_2026-06-02_2m54s_part_005.wav,[Konuşmacı 2]: 85 milyon. [Konuşmacı 1]: Tekrar belirtmem gerekiyor. Maalesef 1000 kutudan fazla ekleme yapamıyoruz. Kaç kutu ekleyelim? [Konuşmacı 2]: Kapatalım mı? [Konuşmacı 1]: Anladım Mahmut Bey. Demo Nexoradanı eklemiyoruz. Başka bir isteğiniz var? [Konuşmacı 2]: Yok hiçbir şey istemiyorum.,127,154,27
